Date : 2024-01-02 17:22:45
Directory : d:\original\TRACNEW2
Total : 457 files,  631578 codes, 801 comments, 1701 blanks, all 634080 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| apps\trac-api\src\app\datastore (Files)                                                                  |          7 |        520 |         33 |         49 |        602 |
| apps\trac-api\src\app\datastore\__tests__                                                                |          3 |        321 |          1 |          7 |        329 |
| apps\trac-api\src\app\emails                                                                             |          4 |        488 |         45 |         47 |        580 |
| apps\trac-api\src\app\upload                                                                             |         17 |      1,208 |         45 |         74 |      1,327 |
| apps\trac-api\src\app\upload (Files)                                                                     |         10 |        447 |         35 |         55 |        537 |
| apps\trac-api\src\app\upload\__tests__                                                                   |          7 |        761 |         10 |         19 |        790 |
| apps\trac-api\src\assets                                                                                 |          1 |    571,081 |          0 |          1 |    571,082 |
| apps\trac-api\src\environments                                                                           |          2 |          6 |          0 |          2 |          8 |
| apps\trac-audit-data                                                                                     |          8 |        242 |          4 |         15 |        261 |
| apps\trac-audit-data (Files)                                                                             |          6 |        124 |          1 |          6 |        131 |
| apps\trac-audit-data\src                                                                                 |          2 |        118 |          3 |          9 |        130 |
| apps\trac-audit-data\src (Files)                                                                         |          1 |         73 |          1 |          5 |         79 |
| apps\trac-audit-data\src\app                                                                             |          1 |         45 |          2 |          4 |         51 |
| apps\trac-web                                                                                            |        174 |     11,616 |        412 |        741 |     12,769 |
| apps\trac-web (Files)                                                                                    |          8 |        239 |          4 |         10 |        253 |
| apps\trac-web\src                                                                                        |        166 |     11,377 |        408 |        731 |     12,516 |
| apps\trac-web\src (Files)                                                                                |         10 |        761 |         76 |         59 |        896 |
| apps\trac-web\src\api                                                                                    |         17 |        619 |         34 |         84 |        737 |
| apps\trac-web\src\api (Files)                                                                            |         11 |        498 |         33 |         67 |        598 |
| apps\trac-web\src\api\formatters                                                                         |          6 |        121 |          1 |         17 |        139 |
| apps\trac-web\src\components                                                                             |         99 |      7,144 |        202 |        354 |      7,700 |
| apps\trac-web\src\components (Files)                                                                     |          7 |        180 |         19 |         25 |        224 |
| apps\trac-web\src\components\__tests__                                                                   |          1 |         44 |          5 |          4 |         53 |
| apps\trac-web\src\components\account                                                                     |          9 |        449 |         14 |         28 |        491 |
| apps\trac-web\src\components\account (Files)                                                             |          7 |        332 |         14 |         24 |        370 |
| apps\trac-web\src\components\account\__tests__                                                           |          2 |        117 |          0 |          4 |        121 |
| apps\trac-web\src\components\audit                                                                       |         24 |      1,874 |         43 |         87 |      2,004 |
| apps\trac-web\src\components\audit (Files)                                                               |         13 |        879 |         30 |         58 |        967 |
| apps\trac-web\src\components\audit\__tests__                                                             |         11 |        995 |         13 |         29 |      1,037 |
| apps\trac-web\src\components\consignments                                                                |          5 |        539 |         11 |         24 |        574 |
| apps\trac-web\src\components\consignments (Files)                                                        |          3 |        253 |         10 |         13 |        276 |
| apps\trac-web\src\components\consignments\__tests__                                                      |          2 |        286 |          1 |         11 |        298 |
| apps\trac-web\src\components\email                                                                       |          2 |        242 |          4 |          7 |        253 |
| apps\trac-web\src\components\notes                                                                       |         12 |        659 |          7 |         25 |        691 |
| apps\trac-web\src\components\notes (Files)                                                               |          6 |        278 |          7 |         12 |        297 |
| apps\trac-web\src\components\notes\__tests__                                                             |          6 |        381 |          0 |         13 |        394 |
| apps\trac-web\src\components\products                                                                    |          3 |         86 |          0 |          5 |         91 |
| apps\trac-web\src\components\search                                                                      |         11 |        796 |         31 |         35 |        862 |
| apps\trac-web\src\components\search (Files)                                                              |          5 |        327 |         22 |         17 |        366 |
| apps\trac-web\src\components\search\__tests__                                                            |          6 |        469 |          9 |         18 |        496 |
| apps\trac-web\src\components\tables                                                                      |         14 |      1,091 |         52 |         74 |      1,217 |
| apps\trac-web\src\components\tables (Files)                                                              |          8 |        561 |         35 |         55 |        651 |
| apps\trac-web\src\components\tables\__tests__                                                            |          6 |        530 |         17 |         19 |        566 |
| apps\trac-web\src\components\upload                                                                      |         11 |      1,184 |         16 |         40 |      1,240 |
| apps\trac-web\src\components\upload (Files)                                                              |          4 |        352 |          4 |         17 |        373 |
| apps\trac-web\src\components\upload\__tests__                                                            |          7 |        832 |         12 |         23 |        867 |
| apps\trac-web\src\navigation                                                                             |         15 |        902 |         27 |         77 |      1,006 |
| apps\trac-web\src\navigation (Files)                                                                     |         10 |        523 |         21 |         54 |        598 |
| apps\trac-web\src\navigation\__tests__                                                                   |          5 |        379 |          6 |         23 |        408 |
| apps\trac-web\src\pages                                                                                  |         22 |      1,820 |         67 |        135 |      2,022 |
| apps\trac-web\src\pages (Files)                                                                          |         20 |      1,657 |         64 |        125 |      1,846 |
| apps\trac-web\src\pages\__tests__                                                                        |          2 |        163 |          3 |         10 |        176 |
| apps\trac-web\src\styles                                                                                 |          3 |        131 |          2 |         22 |        155 |
| config                                                                                                   |          1 |          3 |          2 |          1 |          6 |
| docker                                                                                                   |         18 |        985 |         19 |         68 |      1,072 |
| docker (Files)                                                                                           |         10 |        417 |         10 |         26 |        453 |
| docker\git-docker                                                                                        |          2 |         69 |          4 |          4 |         77 |
| docker\lib                                                                                               |          6 |        499 |          5 |         38 |        542 |
| libs                                                                                                     |         94 |      5,265 |        161 |        379 |      5,805 |
| libs\datatypes                                                                                           |         35 |      2,656 |         23 |        156 |      2,835 |
| libs\datatypes (Files)                                                                                   |          7 |        107 |          1 |         10 |        118 |
| libs\datatypes\src                                                                                       |         28 |      2,549 |         22 |        146 |      2,717 |
| libs\datatypes\src (Files)                                                                               |         25 |      2,347 |         21 |        139 |      2,507 |
| libs\datatypes\src\__tests__                                                                             |          3 |        202 |          1 |          7 |        210 |
| libs\pdfkit                                                                                              |         15 |        340 |         30 |         42 |        412 |
| libs\pdfkit (Files)                                                                                      |          8 |        117 |          1 |         13 |        131 |
| libs\pdfkit\src                                                                                          |          7 |        223 |         29 |         29 |        281 |
| libs\pdfkit\src (Files)                                                                                  |          1 |          9 |          0 |          2 |         11 |
| libs\pdfkit\src\lib                                                                                      |          6 |        214 |         29 |         27 |        270 |
| libs\postgresql                                                                                          |         29 |      1,786 |         93 |        132 |      2,011 |
| libs\postgresql (Files)                                                                                  |          7 |        112 |          1 |         10 |        123 |
| libs\postgresql\src                                                                                      |         22 |      1,674 |         92 |        122 |      1,888 |
| libs\postgresql\src (Files)                                                                              |         14 |        973 |         89 |         99 |      1,161 |
| libs\postgresql\src\__tests__                                                                            |          8 |        701 |          3 |         23 |        727 |
| libs\tedious                                                                                             |         15 |        483 |         15 |         49 |        547 |
| libs\tedious (Files)                                                                                     |          7 |        115 |          1 |         12 |        128 |
| libs\tedious\src                                                                                         |          8 |        368 |         14 |         37 |        419 |
| libs\tedious\src (Files)                                                                                 |          1 |          8 |          0 |          1 |          9 |
| libs\tedious\src\lib                                                                                     |          7 |        360 |         14 |         36 |        410 |
| tools                                                                                                    |          1 |         12 |          0 |          1 |         13 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                 | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\original\TRACNEW2\.eslintrc.json                                                                      | JSON with Comments |         35 |          0 |          1 |         36 |
| d:\original\TRACNEW2\.prettierignore                                                                     | Ignore             |          2 |          1 |          2 |          5 |
| d:\original\TRACNEW2\.prettierrc                                                                         | JSON               |          3 |          0 |          1 |          4 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\activeSessions.json                                    | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\008qep3ip.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\01mj9t3t4.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\03en3p5af.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\048r84nba.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\05jl043rb.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\06a2t7ofx.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\072tk230d.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\08jl7amdv.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\08twfhx60.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\095c89rqh.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\09chzkgga.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0en6fr6y4.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0ezl1mfvx.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0ic1gk7pf.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0j3vyoil2.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0jit4jgqd.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0k0zv8rl8.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0kd13ytip.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0l79p75p4.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0ltsndlio.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0mhh784to.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0mj44izy8.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0ml5dzjby.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0n3vj2qvn.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0n957sfqy.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0oegdclch.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0oumygbok.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0p61m6dda.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0p8hka95h.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0s2ahg6od.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0s8tm59y9.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0t2qr6uiy.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0tc0hqtqq.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0u08a7h2t.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0u2iz6yy3.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0voqe8wtz.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0wqa51ub3.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0y4og1eag.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0yjqc5uld.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0yldicuug.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\session-data\0z1xzuqlx.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\settings\emailSettings.json                            | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\F\REACTJS\TRAC\UploadedFiles\uploadFileProperties.json                              | JSON               |          1 |          0 |          1 |          2 |
| d:\original\TRACNEW2\README.md                                                                           | Markdown           |         73 |          0 |         15 |         88 |
| d:\original\TRACNEW2\apps\db-reset\.eslintrc.json                                                        | JSON with Comments |         18 |          0 |          1 |         19 |
| d:\original\TRACNEW2\apps\db-reset\jest.config.ts                                                        | TypeScript         |         15 |          1 |          1 |         17 |
| d:\original\TRACNEW2\apps\db-reset\project.json                                                          | JSON               |         57 |          0 |          1 |         58 |
| d:\original\TRACNEW2\apps\db-reset\src\REACTJS.code-workspace                                            | JSON with Comments |          7 |          0 |          0 |          7 |
| d:\original\TRACNEW2\apps\db-reset\src\app\CreateAuditTable.ts                                           | TypeScript         |         31 |          0 |          2 |         33 |
| d:\original\TRACNEW2\apps\db-reset\src\app\ImportData.ts                                                 | TypeScript         |         51 |          0 |          3 |         54 |
| d:\original\TRACNEW2\apps\db-reset\src\app\RecreateDatabase.ts                                           | TypeScript         |         54 |          1 |          7 |         62 |
| d:\original\TRACNEW2\apps\db-reset\src\environments\environment.prod.ts                                  | TypeScript         |          3 |          0 |          1 |          4 |
| d:\original\TRACNEW2\apps\db-reset\src\environments\environment.ts                                       | TypeScript         |          3 |          0 |          1 |          4 |
| d:\original\TRACNEW2\apps\db-reset\src\main.ts                                                           | TypeScript         |        129 |          2 |         13 |        144 |
| d:\original\TRACNEW2\apps\db-reset\tsconfig.app.json                                                     | JSON               |         12 |          0 |          1 |         13 |
| d:\original\TRACNEW2\apps\db-reset\tsconfig.json                                                         | JSON with Comments |         13 |          0 |          1 |         14 |
| d:\original\TRACNEW2\apps\db-reset\tsconfig.spec.json                                                    | JSON               |          9 |          0 |          1 |         10 |
| d:\original\TRACNEW2\apps\iol-extract\.eslintrc.json                                                     | JSON with Comments |         18 |          0 |          1 |         19 |
| d:\original\TRACNEW2\apps\iol-extract\jest.config.ts                                                     | TypeScript         |         15 |          1 |          1 |         17 |
| d:\original\TRACNEW2\apps\iol-extract\project.json                                                       | JSON               |         57 |          0 |          1 |         58 |
| d:\original\TRACNEW2\apps\iol-extract\src\main.ts                                                        | TypeScript         |         38 |          1 |          3 |         42 |
| d:\original\TRACNEW2\apps\iol-extract\tsconfig.app.json                                                  | JSON               |         12 |          0 |          1 |         13 |
| d:\original\TRACNEW2\apps\iol-extract\tsconfig.json                                                      | JSON with Comments |         13 |          0 |          1 |         14 |
| d:\original\TRACNEW2\apps\iol-extract\tsconfig.spec.json                                                 | JSON               |          9 |          0 |          1 |         10 |
| d:\original\TRACNEW2\apps\pdftest\.eslintrc.json                                                         | JSON with Comments |         18 |          0 |          1 |         19 |
| d:\original\TRACNEW2\apps\pdftest\jest.config.ts                                                         | TypeScript         |         15 |          1 |          1 |         17 |
| d:\original\TRACNEW2\apps\pdftest\project.json                                                           | JSON               |         57 |          0 |          1 |         58 |
| d:\original\TRACNEW2\apps\pdftest\src\app\GenerateConsignmentData.ts                                     | TypeScript         |         40 |          0 |          1 |         41 |
| d:\original\TRACNEW2\apps\pdftest\src\environments\environment.prod.ts                                   | TypeScript         |          3 |          0 |          1 |          4 |
| d:\original\TRACNEW2\apps\pdftest\src\environments\environment.ts                                        | TypeScript         |          3 |          0 |          1 |          4 |
| d:\original\TRACNEW2\apps\pdftest\src\main.ts                                                            | TypeScript         |         65 |          3 |          4 |         72 |
| d:\original\TRACNEW2\apps\pdftest\tsconfig.app.json                                                      | JSON               |         12 |          0 |          1 |         13 |
| d:\original\TRACNEW2\apps\pdftest\tsconfig.json                                                          | JSON with Comments |         13 |          0 |          1 |         14 |
| d:\original\TRACNEW2\apps\pdftest\tsconfig.spec.json                                                     | JSON               |          9 |          0 |          1 |         10 |
| d:\original\TRACNEW2\apps\tedioustest\.eslintrc.json                                                     | JSON with Comments |         18 |          0 |          1 |         19 |
| d:\original\TRACNEW2\apps\tedioustest\jest.config.ts                                                     | TypeScript         |         15 |          1 |          1 |         17 |
| d:\original\TRACNEW2\apps\tedioustest\project.json                                                       | JSON               |         57 |          0 |          1 |         58 |
| d:\original\TRACNEW2\apps\tedioustest\src\app\PutSqlServerData.ts                                        | TypeScript         |         34 |          0 |          2 |         36 |
| d:\original\TRACNEW2\apps\tedioustest\src\app\SqlMappings.ts                                             | TypeScript         |        435 |         10 |          4 |        449 |
| d:\original\TRACNEW2\apps\tedioustest\src\environments\environment.prod.ts                               | TypeScript         |          3 |          0 |          1 |          4 |
| d:\original\TRACNEW2\apps\tedioustest\src\environments\environment.ts                                    | TypeScript         |          3 |          0 |          1 |          4 |
| d:\original\TRACNEW2\apps\tedioustest\src\main.ts                                                        | TypeScript         |        107 |          1 |          3 |        111 |
| d:\original\TRACNEW2\apps\tedioustest\tsconfig.app.json                                                  | JSON               |         13 |          0 |          1 |         14 |
| d:\original\TRACNEW2\apps\tedioustest\tsconfig.json                                                      | JSON with Comments |         13 |          0 |          1 |         14 |
| d:\original\TRACNEW2\apps\tedioustest\tsconfig.spec.json                                                 | JSON               |          9 |          0 |          1 |         10 |
| d:\original\TRACNEW2\apps\trac-api\.eslintrc.json                                                        | JSON with Comments |         20 |          0 |          1 |         21 |
| d:\original\TRACNEW2\apps\trac-api\Dockerfile                                                            | Docker             |          7 |          1 |          1 |          9 |
| d:\original\TRACNEW2\apps\trac-api\jest.config.ts                                                        | TypeScript         |         15 |          1 |          1 |         17 |
| d:\original\TRACNEW2\apps\trac-api\project.json                                                          | JSON               |         56 |          0 |          1 |         57 |
| d:\original\TRACNEW2\apps\trac-api\src\app\AccountCalculations.ts                                        | TypeScript         |        183 |         13 |         14 |        210 |
| d:\original\TRACNEW2\apps\trac-api\src\app\ApiConfiguration.ts                                           | TypeScript         |         61 |          0 |          7 |         68 |
| d:\original\TRACNEW2\apps\trac-api\src\app\ChangeSettings.ts                                             | TypeScript         |         91 |          4 |          8 |        103 |
| d:\original\TRACNEW2\apps\trac-api\src\app\DownloadPdf.ts                                                | TypeScript         |         24 |          0 |          3 |         27 |
| d:\original\TRACNEW2\apps\trac-api\src\app\DownloadSpreadsheet.ts                                        | TypeScript         |         38 |          7 |          6 |         51 |
| d:\original\TRACNEW2\apps\trac-api\src\app\GetAndUpdateProducts.ts                                       | TypeScript         |         77 |          1 |          3 |         81 |
| d:\original\TRACNEW2\apps\trac-api\src\app\GetAuditData.ts                                               | TypeScript         |        130 |          4 |         11 |        145 |
| d:\original\TRACNEW2\apps\trac-api\src\app\GetData.ts                                                    | TypeScript         |         95 |          1 |          5 |        101 |
| d:\original\TRACNEW2\apps\trac-api\src\app\GetSalesReps.ts                                               | TypeScript         |        112 |          2 |          3 |        117 |
| d:\original\TRACNEW2\apps\trac-api\src\app\GetSqlServerDataHttps.ts                                      | TypeScript         |         55 |          0 |          2 |         57 |
| d:\original\TRACNEW2\apps\trac-api\src\app\RefreshData.ts                                                | TypeScript         |         95 |          0 |          7 |        102 |
| d:\original\TRACNEW2\apps\trac-api\src\app\RemoveAudit.ts                                                | TypeScript         |         63 |          1 |          5 |         69 |
| d:\original\TRACNEW2\apps\trac-api\src\app\StoreAuditNoteOrItem.ts                                       | TypeScript         |         54 |          1 |          8 |         63 |
| d:\original\TRACNEW2\apps\trac-api\src\app\TemplateManager.ts                                            | TypeScript         |          7 |          0 |          1 |          8 |
| d:\original\TRACNEW2\apps\trac-api\src\app\TransferMssqlData.ts                                          | TypeScript         |        110 |          1 |         11 |        122 |
| d:\original\TRACNEW2\apps\trac-api\src\app\UserOps.ts                                                    | TypeScript         |         68 |          4 |         27 |         99 |
| d:\original\TRACNEW2\apps\trac-api\src\app\__tests__\ApiConfiguration.test.ts                            | TypeScript         |         51 |          0 |          3 |         54 |
| d:\original\TRACNEW2\apps\trac-api\src\app\__tests__\DowloadSpreadsheet.test.ts                          | TypeScript         |         67 |          0 |          2 |         69 |
| d:\original\TRACNEW2\apps\trac-api\src\app\__tests__\GetAuditData.test.ts                                | TypeScript         |         60 |          0 |          2 |         62 |
| d:\original\TRACNEW2\apps\trac-api\src\app\__tests__\GetData.test.ts                                     | TypeScript         |         99 |          0 |          3 |        102 |
| d:\original\TRACNEW2\apps\trac-api\src\app\__tests__\GetSalesReps.test.ts                                | TypeScript         |         66 |          0 |          2 |         68 |
| d:\original\TRACNEW2\apps\trac-api\src\app\__tests__\StoreAuditNoteOrItem.test.ts                        | TypeScript         |         73 |          0 |          2 |         75 |
| d:\original\TRACNEW2\apps\trac-api\src\app\datastore\DataStoreUtilities.ts                               | TypeScript         |         26 |          2 |          3 |         31 |
| d:\original\TRACNEW2\apps\trac-api\src\app\datastore\FileStore.ts                                        | TypeScript         |         37 |          3 |          5 |         45 |
| d:\original\TRACNEW2\apps\trac-api\src\app\datastore\FindDuplicates.ts                                   | TypeScript         |         51 |          2 |          3 |         56 |
| d:\original\TRACNEW2\apps\trac-api\src\app\datastore\Settings.ts                                         | TypeScript         |         30 |          2 |          7 |         39 |
| d:\original\TRACNEW2\apps\trac-api\src\app\datastore\TransformData.ts                                    | TypeScript         |        168 |         12 |          9 |        189 |
| d:\original\TRACNEW2\apps\trac-api\src\app\datastore\UploadManager.ts                                    | TypeScript         |        170 |          9 |         19 |        198 |
| d:\original\TRACNEW2\apps\trac-api\src\app\datastore\UploadStoreManagement.ts                            | TypeScript         |         38 |          3 |          3 |         44 |
| d:\original\TRACNEW2\apps\trac-api\src\app\datastore\__tests__\DataStoreUtilities.test.ts                | TypeScript         |         80 |          0 |          2 |         82 |
